Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12
120858170,564333851,1303993941,3655917433,1243801211,830588312,2530652920,3792821918,3057187616,565419557,1265480485,753779
120858170,564333851,1303993941,3655917433,1243801211,830588312,2530652920,3792821918,3057187616,565419557,1265480485,2753116467
120858170,564333851,1303993941,3655917433,1243801211,830588312,2530652920,3792821918,3057187616,565419557,1945973358,1763344444
120858170,564333851,1303993941,3655917433,1243801211,830588312,2530652920,3792821918,3057187616,565419557,1945973358,1662815418
120858170,564333851,1303993941,3655917433,1243801211,830588312,2530652920,3792821918,3057187616,1485695367,42344970,315564593
120858170,564333851,1303993941,3655917433,1243801211,830588312,2530652920,3792821918,3057187616,1485695367,42344970,978167081
120858170,564333851,1303993941,3655917433,1243801211,830588312,2530652920,3792821918,3057187616,1485695367,1319469968,298034345
120858170,564333851,1303993941,3655917433,1243801211,830588312,2530652920,3792821918,3057187616,1485695367,1319469968,312544085
120858170,564333851,1303993941,3655917433,1243801211,830588312,2530652920,3792821918,599289012,601704196,1207567275,3148323055
120858170,564333851,1303993941,3655917433,1243801211,830588312,2530652920,3792821918,599289012,601704196,1207567275,2838308271
120858170,564333851,1303993941,3655917433,1243801211,830588312,2530652920,3792821918,599289012,601704196,2906755791,392146887
120858170,564333851,1303993941,3655917433,1243801211,830588312,2530652920,3792821918,599289012,601704196,2906755791,1963924213
120858170,564333851,1303993941,3655917433,1243801211,830588312,2530652920,3792821918,599289012,2263658885,2460617624,3332335110
120858170,564333851,1303993941,3655917433,1243801211,830588312,2530652920,3792821918,599289012,2263658885,2460617624,503423912
120858170,564333851,1303993941,3655917433,1243801211,830588312,2530652920,3792821918,599289012,2263658885,670925033,1609132893
120858170,564333851,1303993941,3655917433,1243801211,830588312,2530652920,3792821918,599289012,2263658885,670925033,4177399723
120858170,564333851,1303993941,3655917433,1243801211,830588312,2530652920,634325966,1933902212,4222973122,2510644464,3157906568
120858170,564333851,1303993941,3655917433,1243801211,830588312,2530652920,634325966,1933902212,4222973122,2510644464,2278407909
120858170,564333851,1303993941,3655917433,1243801211,830588312,2530652920,634325966,1933902212,4222973122,1470051258,335537903
120858170,564333851,1303993941,3655917433,1243801211,830588312,2530652920,634325966,1933902212,4222973122,1470051258,513865900
120858170,564333851,1303993941,3655917433,1243801211,830588312,2530652920,634325966,1933902212,899281988,548964748,412604324
120858170,564333851,1303993941,3655917433,1243801211,830588312,2530652920,634325966,1933902212,899281988,548964748,3760597063
120858170,564333851,1303993941,3655917433,1243801211,830588312,2530652920,634325966,1933902212,899281988,2028796322,2882473650
120858170,564333851,1303993941,3655917433,1243801211,830588312,2530652920,634325966,1933902212,899281988,2028796322,2610719985
120858170,564333851,1303993941,3655917433,1243801211,830588312,2530652920,634325966,3664030399,1384009397,1167296541,4051261936
120858170,564333851,1303993941,3655917433,1243801211,830588312,2530652920,634325966,3664030399,1384009397,1167296541,437637061
120858170,564333851,1303993941,3655917433,1243801211,830588312,2530652920,634325966,3664030399,1384009397,842107733,1968281515
120858170,564333851,1303993941,3655917433,1243801211,830588312,2530652920,634325966,3664030399,1384009397,842107733,519616125
120858170,564333851,1303993941,3655917433,1243801211,830588312,2530652920,634325966,3664030399,884886515,2429184919,2871699243
120858170,564333851,1303993941,3655917433,1243801211,830588312,2530652920,634325966,3664030399,884886515,2429184919,2178158263
120858170,564333851,1303993941,3655917433,1243801211,830588312,2530652920,634325966,3664030399,884886515,1411676640,1005485126
120858170,564333851,1303993941,3655917433,1243801211,830588312,2530652920,634325966,3664030399,884886515,1411676640,2509024637
120858170,564333851,1303993941,3655917433,1243801211,830588312,1102068260,1675138789,3627226676,1202885703,2460738585,1470720473
120858170,564333851,1303993941,3655917433,1243801211,830588312,1102068260,1675138789,3627226676,1202885703,2460738585,1682902663
120858170,564333851,1303993941,3655917433,1243801211,830588312,1102068260,1675138789,3627226676,1202885703,201402071,1298639465
120858170,564333851,1303993941,3655917433,1243801211,830588312,1102068260,1675138789,3627226676,1202885703,201402071,1486451427
120858170,564333851,1303993941,3655917433,1243801211,830588312,1102068260,1675138789,3627226676,1622008004,3296950100,4218620910
120858170,564333851,1303993941,3655917433,1243801211,830588312,1102068260,1675138789,3627226676,1622008004,3296950100,995195557
