Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12
2048,1024,512,256,128,2112,1056,2576,3336,1668,834,2465
2048,1024,512,256,128,2112,1056,2576,3336,1668,2882,1441
2048,1024,512,256,128,2112,1056,2576,3336,1668,2882,3489
2048,1024,512,256,128,2112,1056,2576,3336,3716,1858,929
2048,1024,512,256,128,2112,1056,2576,3336,3716,1858,2977
2048,1024,512,256,128,2112,1056,2576,3336,3716,3906,1953
2048,1024,512,256,128,2112,1056,2576,3336,3716,3906,4001
2048,1024,512,256,128,2112,3104,1552,776,388,194,97
2048,1024,512,256,128,2112,3104,1552,776,388,194,2145
2048,1024,512,256,128,2112,3104,1552,776,388,2242,1121
2048,1024,512,256,128,2112,3104,1552,776,388,2242,3169
2048,1024,512,256,128,2112,3104,1552,776,2436,1218,609
2048,1024,512,256,128,2112,3104,1552,776,2436,1218,2657
2048,1024,512,256,128,2112,3104,1552,776,2436,3266,1633
2048,1024,512,256,128,2112,3104,1552,776,2436,3266,3681
2048,1024,512,256,128,2112,3104,1552,2824,1412,706,353
2048,1024,512,256,128,2112,3104,1552,2824,1412,706,2401
2048,1024,512,256,128,2112,3104,1552,2824,1412,2754,1377
2048,1024,512,256,128,2112,3104,1552,2824,1412,2754,3425
2048,1024,512,256,128,2112,3104,1552,2824,3460,1730,865
2048,1024,512,256,128,2112,3104,1552,2824,3460,1730,2913
2048,1024,512,256,128,2112,3104,1552,2824,3460,3778,1889
2048,1024,512,256,128,2112,3104,1552,2824,3460,3778,3937
2048,1024,512,256,128,2112,3104,3600,1800,900,450,225
2048,1024,512,256,128,2112,3104,3600,1800,900,450,2273
2048,1024,512,256,128,2112,3104,3600,1800,900,2498,1249
2048,1024,512,256,128,2112,3104,3600,1800,900,2498,3297
2048,1024,512,256,128,2112,3104,3600,1800,2948,1474,737
2048,1024,512,256,128,2112,3104,3600,1800,2948,1474,2785
2048,1024,512,256,128,2112,3104,3600,1800,2948,3522,1761
2048,1024,512,256,128,2112,3104,3600,1800,2948,3522,3809
2048,1024,512,256,128,2112,3104,3600,3848,1924,962,481
2048,1024,512,256,128,2112,3104,3600,3848,1924,962,2529
2048,1024,512,256,128,2112,3104,3600,3848,1924,3010,1505
2048,1024,512,256,128,2112,3104,3600,3848,1924,3010,3553
2048,1024,512,256,128,2112,3104,3600,3848,3972,1986,993
2048,1024,512,256,128,2112,3104,3600,3848,3972,1986,3041
2048,1024,512,256,128,2112,3104,3600,3848,3972,4034,2017
2048,1024,512,256,128,2112,3104,3600,3848,3972,4034,4065
2048,1024,512,256,2176,1088,544,272,136,68,34,17
2048,1024,512,256,2176,1088,544,272,136,68,34,2065
2048,1024,512,256,2176,1088,544,272,136,68,2082,1041
2048,1024,512,256,2176,1088,544,272,136,68,2082,3089
2048,1024,512,256,2176,1088,544,272,136,2116,1058,529
2048,1024,512,256,2176,1088,544,272,136,2116,1058,2577
2048,1024,512,256,2176,1088,544,272,136,2116,3106,1553
2048,1024,512,256,2176,1088,544,272,136,2116,3106,3601
2048,1024,512,256,2176,1088,544,272,2184,1092,546,273
